supplier_id,event_date,event_type,severity,description
SUP-0001,2026-04-30,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0001,2026-07-27,Financial,LOW,Low financial event recorded during supplier monitoring.
SUP-0001,2026-02-11,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0001,2026-03-07,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0002,2026-03-28,Delivery,HIGH,High delivery event recorded during supplier monitoring.
SUP-0002,2026-06-22,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0003,2026-08-08,Quality,HIGH,High quality event recorded during supplier monitoring.
SUP-0003,2026-05-12,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0004,2026-06-21,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0004,2026-02-05,Delivery,LOW,Low delivery event recorded during supplier monitoring.
SUP-0004,2026-08-28,Compliance,MEDIUM,Medium compliance event recorded during supplier monitoring.
SUP-0005,2026-04-09,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0005,2026-07-12,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0006,2026-05-30,Financial,MEDIUM,Medium financial event recorded during supplier monitoring.
SUP-0006,2026-03-08,Geopolitical,LOW,Low geopolitical event recorded during supplier monitoring.
SUP-0006,2026-03-02,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0007,2026-03-20,Delivery,MEDIUM,Medium delivery event recorded during supplier monitoring.
SUP-0008,2026-05-09,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0008,2026-01-31,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0009,2026-02-26,Financial,HIGH,High financial event recorded during supplier monitoring.
SUP-0009,2026-05-03,Quality,LOW,Low quality event recorded during supplier monitoring.
SUP-0009,2026-07-11,Quality,MEDIUM,Medium quality event recorded during supplier monitoring.
SUP-0010,2026-05-21,Compliance,HIGH,High compliance event recorded during supplier monitoring.
SUP-0010,2026-07-25,Compliance,HIGH,High compliance event recorded during supplier monitoring.
