supplier_id,supplier_name,country,category,annual_spend_usd,supplier_tenure_years,financial_score,debt_ratio,revenue_growth_pct,cash_flow_score,on_time_delivery_pct,average_delay_days,defect_rate_pct,quality_score,compliance_score,audit_score,certification_status,geopolitical_risk,single_source_dependency,previous_incidents
SUP-0001,Prime Components 1,Mexico,Metals,1972427,3.4,23.2,0.67,2.7,62.2,66.1,1.9,2.13,67.0,63.8,75.8,Missing,43.6,45.4,2
SUP-0002,Apex Industries 2,USA,Plastics,2430953,3.6,91.6,0.39,-14.5,22.7,93.8,9.3,6.9,76.9,61.8,95.9,Expiring,16.3,31.4,5
SUP-0003,Summit Materials 3,Germany,Chemicals,683470,1.8,33.2,0.35,-15.0,33.6,68.4,4.5,5.48,48.5,48.9,36.3,Valid,66.1,66.5,0
SUP-0004,Global Materials 4,Germany,Metals,3977719,7.5,94.2,0.6,3.2,69.8,93.7,11.8,2.1,22.5,44.6,40.9,Valid,83.1,56.0,5
SUP-0005,Summit Industries 5,Brazil,Aerospace,7521260,16.5,51.7,0.34,-8.6,59.9,73.9,9.0,7.65,51.2,37.1,97.8,Missing,49.5,73.0,6
SUP-0006,Prime Industries 6,China,Chemicals,3641334,11.1,45.8,0.57,-0.2,35.1,83.8,14.2,5.85,28.9,89.0,78.6,Valid,18.9,44.1,3
SUP-0007,Apex Manufacturing 7,China,Packaging,7755677,2.8,65.0,0.74,1.3,30.9,77.7,2.8,8.11,91.9,91.6,66.7,Expiring,11.6,88.6,6
SUP-0008,Vertex Industries 8,India,Metals,7465278,10.6,21.3,0.66,13.0,93.2,83.1,2.3,5.68,93.9,32.9,61.2,Missing,43.9,24.1,4
SUP-0009,Nova Manufacturing 9,USA,Chemicals,5551572,7.3,87.0,0.47,-8.6,20.1,65.7,8.5,5.08,20.6,75.2,24.6,Valid,82.4,82.4,0
SUP-0010,Nova Manufacturing 10,Brazil,Metals,4623422,3.2,89.8,0.55,-0.0,77.8,92.5,3.3,1.0,53.6,53.0,56.4,Valid,63.9,93.6,0
SUP-0011,Apex Systems 11,Poland,Electronics,2185880,4.3,57.9,0.25,-11.0,52.0,94.7,1.6,6.91,86.8,27.6,70.9,Missing,76.9,92.2,6
SUP-0012,Nova Industries 12,USA,Aerospace,4137927,4.6,47.1,0.19,-3.6,93.8,74.0,11.9,3.98,53.0,94.7,97.6,Missing,62.9,48.8,1
SUP-0013,Vertex Industries 13,India,Packaging,6271810,10.2,74.8,0.19,4.2,55.2,94.0,2.8,8.17,26.2,34.5,66.4,Valid,42.3,89.7,4
SUP-0014,Nova Materials 14,India,Packaging,787726,8.1,61.7,0.52,17.5,31.3,89.4,4.0,3.49,72.4,43.4,44.7,Valid,10.7,60.9,4
SUP-0015,Prime Components 15,Germany,Packaging,2324662,3.3,42.9,0.2,-8.7,37.8,79.9,8.4,2.71,96.7,83.0,61.3,Missing,34.0,64.7,1
SUP-0016,Vertex Components 16,Vietnam,Chemicals,4740776,3.6,37.5,0.3,-5.0,70.0,94.0,7.8,2.28,90.8,24.0,69.5,Valid,13.5,35.0,1
SUP-0017,Vertex Industries 17,Brazil,Packaging,6019567,8.3,15.8,0.2,15.6,87.3,83.6,12.6,5.03,31.6,29.9,44.0,Valid,81.9,23.9,1
SUP-0018,Prime Manufacturing 18,USA,Packaging,6387073,3.6,89.4,0.76,19.1,79.9,95.0,0.9,6.31,45.9,92.6,82.6,Valid,31.3,75.9,0
SUP-0019,Orion Components 19,Brazil,Metals,1774138,14.9,51.8,0.36,12.2,33.2,65.8,3.3,2.92,87.4,95.4,41.8,Missing,42.0,93.3,4
SUP-0020,Summit Components 20,Vietnam,Plastics,1597935,10.9,93.7,0.18,4.7,42.7,91.7,6.8,8.37,29.0,90.2,34.8,Valid,66.7,5.2,6
SUP-0021,Nova Manufacturing 21,USA,Electronics,5672029,16.7,64.9,0.61,-13.3,87.0,82.2,10.2,2.91,74.4,63.2,35.0,Expiring,64.2,86.3,4
SUP-0022,Vertex Systems 22,India,Plastics,2506806,4.6,77.9,0.57,-5.8,50.3,88.0,7.9,6.79,94.9,77.4,71.4,Valid,51.2,62.0,2
SUP-0023,Prime Industries 23,Mexico,Metals,6865939,4.4,17.0,0.32,0.1,83.0,67.5,6.5,5.43,35.2,74.3,58.6,Valid,21.8,66.9,6
SUP-0024,Prime Systems 24,Germany,Metals,6845362,17.3,56.4,0.19,-8.5,82.9,80.5,12.1,5.74,97.1,66.4,94.1,Expiring,59.0,69.7,4
SUP-0025,Orion Materials 25,Brazil,Metals,6338233,15.6,51.0,0.68,13.9,37.2,91.4,7.5,2.19,54.3,75.7,38.3,Valid,35.6,53.6,1
SUP-0026,Global Industries 26,USA,Chemicals,1381823,13.0,20.1,0.44,2.6,48.3,72.0,6.6,7.71,65.6,74.3,86.8,Missing,40.4,5.5,2
SUP-0027,Vertex Systems 27,USA,Packaging,6370615,13.5,79.0,0.78,0.6,36.8,81.5,6.1,5.75,82.3,76.5,85.6,Valid,88.5,53.1,3
SUP-0028,Apex Components 28,USA,Metals,7371676,8.8,19.0,0.42,-10.0,41.1,90.9,6.0,6.44,84.9,39.7,26.4,Valid,69.9,9.7,2
SUP-0029,Nova Components 29,India,Electronics,2174362,4.4,16.6,0.26,-13.2,68.6,84.2,3.7,6.01,79.8,33.1,67.4,Valid,72.2,19.7,2
SUP-0030,Prime Materials 30,India,Plastics,4930133,12.5,91.7,0.43,9.2,21.1,88.5,9.6,1.05,80.3,86.3,66.8,Valid,73.7,55.9,0
SUP-0031,Summit Materials 31,USA,Chemicals,3208573,2.2,66.8,0.16,-2.0,54.2,79.7,5.8,7.6,55.9,31.9,33.7,Missing,87.2,29.3,6
SUP-0032,Delta Systems 32,USA,Chemicals,5070037,5.6,83.1,0.73,-14.7,85.5,73.3,7.2,5.27,49.6,22.2,86.4,Valid,49.0,36.9,2
SUP-0033,Summit Manufacturing 33,Mexico,Packaging,185153,9.8,30.3,0.32,-2.6,59.4,73.2,7.4,6.11,55.0,21.3,43.0,Expiring,65.3,32.6,4
SUP-0034,Summit Systems 34,Poland,Aerospace,6357359,10.4,43.1,0.47,-6.3,33.4,89.5,5.1,6.37,94.2,73.8,34.9,Expiring,32.1,58.1,6
SUP-0035,Vertex Components 35,Germany,Plastics,2008267,7.1,39.2,0.65,-13.2,18.6,66.9,4.7,8.04,69.8,78.7,28.0,Valid,55.9,47.2,3
SUP-0036,Summit Industries 36,India,Plastics,7994213,15.6,24.1,0.2,0.7,61.2,88.3,2.7,6.93,94.0,26.6,39.4,Missing,71.2,59.6,6
SUP-0037,Nova Materials 37,USA,Aerospace,7721087,8.5,83.8,0.84,-6.4,64.7,85.7,11.2,8.06,36.2,36.5,71.5,Valid,29.2,54.7,1
SUP-0038,Apex Systems 38,Brazil,Chemicals,5081249,9.0,17.6,0.35,-7.3,83.8,67.4,3.9,2.4,81.7,66.0,82.7,Valid,44.0,54.0,5
SUP-0039,Global Manufacturing 39,China,Electronics,600280,3.8,39.6,0.67,3.6,38.1,69.2,10.5,6.01,93.5,59.0,58.5,Valid,57.8,85.0,5
SUP-0040,Summit Materials 40,Mexico,Electronics,866105,4.9,68.9,0.75,4.3,16.7,91.0,12.4,4.98,79.5,33.7,60.5,Expiring,83.3,21.3,4
SUP-0041,Orion Systems 41,Vietnam,Aerospace,3018908,7.9,40.7,0.22,-11.9,47.9,81.8,10.1,3.52,79.3,22.9,26.9,Valid,35.9,92.3,3
SUP-0042,Apex Materials 42,Brazil,Aerospace,554696,4.2,43.9,0.68,5.8,75.8,71.9,8.5,7.9,54.2,74.5,29.5,Missing,73.9,68.9,2
SUP-0043,Apex Materials 43,USA,Electronics,1984925,17.9,88.0,0.47,-13.5,81.6,81.9,10.9,4.42,41.3,85.1,96.5,Valid,46.5,18.0,1
SUP-0044,Global Components 44,Mexico,Aerospace,2951080,16.9,55.6,0.72,-7.3,38.9,85.0,15.0,4.26,31.6,62.0,46.9,Missing,71.0,38.9,2
SUP-0045,Nova Industries 45,USA,Metals,7280757,14.2,18.5,0.67,8.8,79.9,78.1,10.1,7.01,96.5,58.6,22.9,Missing,87.2,34.9,0
SUP-0046,Delta Components 46,Brazil,Electronics,6160298,3.5,84.7,0.83,-15.2,77.5,74.0,9.5,3.5,26.3,45.6,72.6,Missing,40.4,33.5,5
SUP-0047,Delta Materials 47,India,Packaging,673954,5.0,69.8,0.35,-9.4,22.2,98.3,11.5,6.04,27.8,33.0,43.4,Valid,13.7,76.7,2
SUP-0048,Summit Manufacturing 48,USA,Metals,2148476,10.0,60.3,0.7,-11.5,21.3,94.6,9.5,2.2,91.2,31.2,56.0,Valid,46.8,65.0,6
SUP-0049,Delta Manufacturing 49,China,Electronics,3805497,17.1,94.0,0.36,18.6,70.2,80.5,4.9,8.49,86.6,28.3,49.7,Valid,56.0,94.3,2
SUP-0050,Apex Systems 50,Mexico,Electronics,4847356,15.7,77.3,0.83,16.6,74.6,93.3,13.6,6.64,37.9,82.6,37.1,Valid,59.7,66.0,5
SUP-0051,Global Components 51,India,Plastics,6715344,8.5,61.4,0.66,-14.6,38.6,90.4,3.0,1.3,62.1,95.8,61.4,Valid,76.4,28.1,6
SUP-0052,Delta Manufacturing 52,Poland,Electronics,4028648,17.4,26.3,0.83,14.7,72.9,98.3,14.5,6.88,48.5,81.7,21.1,Missing,19.9,38.2,5
SUP-0053,Vertex Materials 53,USA,Chemicals,7987740,7.3,69.0,0.48,5.5,90.5,76.2,9.3,5.58,69.6,56.2,74.7,Expiring,19.3,9.1,0
SUP-0054,Vertex Systems 54,Vietnam,Electronics,2069645,16.1,25.9,0.47,7.5,74.5,97.2,6.6,6.36,32.1,52.4,27.7,Expiring,59.3,89.5,2
SUP-0055,Apex Manufacturing 55,Germany,Aerospace,3830379,17.2,83.4,0.22,8.1,58.6,98.2,5.7,3.5,34.8,29.5,86.1,Expiring,17.3,24.1,5
SUP-0056,Apex Components 56,Poland,Metals,1156326,14.4,31.4,0.73,3.1,61.9,92.6,3.9,6.63,81.5,66.5,41.6,Valid,89.0,53.6,6
SUP-0057,Global Components 57,India,Metals,224657,7.1,78.1,0.56,-17.4,36.2,69.3,6.6,1.14,25.0,55.0,48.2,Missing,18.7,50.3,4
SUP-0058,Apex Materials 58,Mexico,Aerospace,5496732,17.4,19.9,0.49,-2.7,69.9,81.7,13.7,0.81,26.3,67.4,25.1,Valid,59.9,57.7,5
SUP-0059,Summit Systems 59,Mexico,Aerospace,4340869,11.3,22.9,0.64,14.4,67.1,91.1,11.0,1.98,55.2,37.8,46.4,Expiring,41.9,70.7,2
SUP-0060,Orion Manufacturing 60,Mexico,Plastics,1380428,12.7,52.9,0.21,-14.8,49.6,90.3,5.9,1.28,24.7,94.6,63.8,Valid,42.9,83.6,6
SUP-0061,Orion Components 61,Mexico,Packaging,2721011,7.0,61.2,0.3,7.0,32.9,68.7,12.8,3.25,79.5,64.8,83.0,Missing,88.0,78.7,4
SUP-0062,Apex Materials 62,Mexico,Electronics,1613439,5.6,76.0,0.8,-4.7,29.5,69.9,10.0,0.78,77.8,95.8,27.2,Missing,27.2,42.8,2
SUP-0063,Global Manufacturing 63,Mexico,Chemicals,2821120,14.2,60.4,0.21,-16.0,27.6,86.0,10.3,2.46,71.6,57.9,54.5,Valid,27.2,51.1,2
SUP-0064,Orion Components 64,Mexico,Chemicals,5791555,11.1,57.2,0.37,-9.6,93.8,66.9,3.5,8.05,79.9,79.6,42.6,Valid,10.6,72.2,1
SUP-0065,Global Systems 65,Germany,Packaging,4786912,15.2,79.5,0.2,14.7,18.4,65.6,13.9,7.36,64.9,64.7,75.3,Expiring,33.2,41.5,2
SUP-0066,Global Materials 66,Brazil,Chemicals,7815587,7.2,49.9,0.22,-1.4,47.0,67.7,13.1,6.39,37.3,80.8,26.0,Valid,52.4,22.5,6
SUP-0067,Summit Manufacturing 67,China,Metals,962386,3.5,30.8,0.57,10.9,67.4,71.0,11.7,4.3,78.8,79.3,55.0,Missing,61.4,93.8,2
SUP-0068,Summit Industries 68,Brazil,Electronics,4033595,8.5,39.2,0.34,-15.9,55.6,75.6,7.1,0.67,84.9,26.0,87.4,Valid,59.2,50.6,3
SUP-0069,Apex Systems 69,Germany,Plastics,5175156,9.1,27.1,0.19,-14.1,86.9,76.7,10.9,4.39,33.5,39.3,54.1,Expiring,51.9,59.9,2
SUP-0070,Summit Manufacturing 70,USA,Aerospace,6596681,6.8,62.8,0.7,6.6,20.3,68.2,10.3,2.56,76.5,71.2,90.7,Valid,36.7,57.4,1
SUP-0071,Summit Manufacturing 71,USA,Metals,5091567,13.1,21.8,0.54,6.5,41.3,69.3,10.7,8.06,97.8,91.2,27.3,Expiring,50.7,6.6,2
SUP-0072,Global Industries 72,Poland,Aerospace,1710656,4.9,26.0,0.2,14.1,23.1,91.2,12.6,7.53,22.9,46.3,79.8,Valid,57.8,18.9,1
SUP-0073,Global Systems 73,India,Aerospace,3155964,12.5,34.0,0.46,-7.2,74.9,80.3,8.2,2.77,83.1,56.6,85.1,Valid,64.3,56.3,3
SUP-0074,Delta Manufacturing 74,USA,Packaging,4524653,8.1,28.0,0.29,5.0,84.8,66.8,7.5,3.28,92.9,75.5,60.2,Valid,32.8,73.7,2
SUP-0075,Delta Materials 75,China,Aerospace,869349,17.1,32.8,0.47,-4.7,17.1,66.8,7.8,2.16,97.6,49.2,22.2,Valid,77.1,63.5,6
SUP-0076,Global Industries 76,India,Plastics,7795676,15.1,70.7,0.25,8.8,50.9,65.2,1.6,2.32,85.1,62.8,76.7,Missing,43.9,74.9,1
SUP-0077,Vertex Components 77,India,Metals,3621751,11.9,64.8,0.19,13.8,55.0,83.2,9.7,4.97,76.0,42.7,20.1,Valid,29.2,42.5,5
SUP-0078,Prime Materials 78,Poland,Electronics,4512906,10.2,77.9,0.51,-17.2,84.9,66.5,6.1,3.3,78.3,47.9,25.3,Valid,68.6,61.5,6
SUP-0079,Summit Industries 79,India,Plastics,4680295,6.8,66.4,0.73,8.0,93.5,81.3,3.1,1.32,75.9,93.6,22.9,Valid,13.5,23.0,0
SUP-0080,Summit Manufacturing 80,USA,Packaging,4071165,5.3,75.3,0.28,-4.4,77.5,94.4,5.3,1.23,48.7,89.4,78.0,Expiring,37.1,21.8,5
SUP-0081,Delta Manufacturing 81,Mexico,Electronics,6199200,8.2,49.4,0.85,-11.1,38.5,68.5,5.3,2.65,54.8,76.0,33.0,Expiring,38.1,8.8,6
SUP-0082,Summit Materials 82,USA,Plastics,5464257,17.7,90.8,0.2,6.2,44.1,92.2,10.4,8.11,31.1,67.4,80.9,Valid,20.1,26.2,5
